No.,Food_ID,Nama Bahan Makanan,Fast_Food,Sumber,Tipe,Jenis_Olahan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah / Olahan,Kelompok Makanan,Sumber TKPI 2019,Fast_Food_New,Tipe_New,Jenis_Olahan_New,Mentah / Olahan_New,Kelompok Makanan_New,Fast_Food_New_0,Fast_Food_New_1,Tipe_New_0,Tipe_New_1,Jenis_Olahan_New_0,Jenis_Olahan_New_1,Jenis_Olahan_New_2,Jenis_Olahan_New_3,Jenis_Olahan_New_4,Jenis_Olahan_New_5,Jenis_Olahan_New_6,Jenis_Olahan_New_7,Jenis_Olahan_New_8,Jenis_Olahan_New_9,Jenis_Olahan_New_10,Mentah / Olahan_New_0,Mentah / Olahan_New_1,Kelompok Makanan_New_0,Kelompok Makanan_New_1,Kelompok Makanan_New_2,Kelompok Makanan_New_3,Kelompok Makanan_New_4,Kelompok Makanan_New_5,Kelompok Makanan_New_6,Kelompok Makanan_New_7,Kelompok Makanan_New_8, Daging Ayam, Daging Kambing, Daging Kerbau, Daging Sapi, Ikan, Kedelai, Sayur, Telur,Beras,Biji-bijian,Buah,Daging Ayam,Daging Babi,Daging Kambing,Daging Sapi,Ikan,Kedelai,Sayur,Susu,Telur Ayam,Tepung,Umbi-umbian
21,FNT021,Soto sukaraja,Tidak,Daging Sapi,Makanan Berat,Rebus,75.9,80,3.2,3.5,9.0,0.3,1.1,347.0,77.0,2.3,0.0,0.0,0.0,0.0,12.0,0.0,89.0,0.04,0.0,0.0,0.0,100,Olahan,Daging,KZGPI01990,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,FNT022,Soto sulung,Tidak,Daging Sapi,Makanan Berat,Rebus,88.1,86,2.3,8.5,0.0,0.0,1.1,200.0,120.0,2.9,0.0,0.0,0.0,0.0,20.0,0.0,105.0,0.08,0.0,0.0,0.0,100,Olahan,Daging,KZGPI01990,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,FNT023,Kembang tahu,Ya,Kedelai,Makanan Berat,Mentah,10.8,380,48.9,13.8,23.3,0.0,3.2,378.0,781.0,2.1,55.0,455.3,0.68,4.2,0.0,0.0,0.0,0.15,0.08,0.7,0.0,100,Olahan,Kacang,KZGPI01990,1,0,6,0,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,FNT024,Kembang tahu rebus,Ya,Kedelai,Makanan Berat,Rebus,79.8,90,10.7,4.0,4.7,0.0,0.8,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,Olahan,Kacang,KZGPI01990,1,0,9,0,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,FNT025,Keripik oncom,Ya,Kedelai,Makanan Ringan,Goreng,3.0,598,8.3,43.8,42.6,3.3,2.2,85.0,153.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.608,1.13,0.0,0.0,0.0,100,Olahan,Kacang,KZGPI01990,1,1,3,0,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,FNT026,Keripik tempe,Ya,Kedelai,Makanan Ringan,Goreng,3.3,581,12.1,40.6,41.7,2.2,2.3,237.0,116.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.35,0.0,0.0,0.0,100,Olahan,Kacang,KZGPI01990,1,1,3,0,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,FNT027,Kwaci,Ya,Biji-bijian,Makanan Ringan,Panggang,9.9,515,30.6,42.1,13.8,13.6,3.7,54.0,312.0,6.2,124.0,448.6,0.65,9.7,0.0,0.0,0.0,0.02,0.19,0.3,0.0,35,Olahan,Kacang,DABM01964,1,1,7,0,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,FNT028,Tauco,Tidak,Kedelai,Makanan Berat,Mentah,54.0,184,11.4,5.5,22.2,1.9,6.9,72.0,463.0,6.0,1.766,233.0,0.39,1.0,0.0,0.0,664.0,0.32,0.2,0.8,0.0,100,Olahan,Kacang,KZGPI01990,0,0,6,0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,FNT029,Wingko babat,Tidak,Tepung,Makanan Ringan,Panggang,29.7,355,3.2,15.1,51.4,2.4,0.7,47.0,63.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,100,Olahan,Serealia,KZGPI01990,0,1,7,0,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,FNT030,Ledre pisang,Tidak,Buah,Makanan Ringan,Panggang,3.6,405,4.8,5.1,84.9,0.4,1.6,59.0,124.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,100,Olahan,Buah,KZGPI01990,0,1,7,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,FNT031,Lempog durian,Tidak,Buah,Makanan Ringan,Rebus,25.2,320,3.5,5.7,63.7,4.9,1.9,190.0,93.0,2.5,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.18,0.04,0.0,15.0,100,Olahan,Buah,KZGPI01990,0,1,9,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,FNT032,Loka anjoroi,Tidak,Buah,Makanan Berat,Rebus,63.3,163,1.1,4.3,30.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100,Olahan,Buah,KZGMI02001,0,0,9,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,FNT033,Alpukat,Ya,Buah,Makanan Ringan,Mentah,84.3,85,0.9,6.5,7.7,0.0,0.6,10.0,20.0,0.9,2.0,278.0,0.2,0.4,0.0,189.0,180.0,0.05,0.08,1.0,13.0,61,Tunggal,Buah,DABM01964,1,1,6,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,FNT034,Rujak aceh,Tidak,Buah,Makanan Berat,Rebus,78.7,82,0.4,0.3,19.7,2.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.1,0.0,0.0,0.0,100,Olahan,Buah,KZGMI02001,0,0,9,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
